t;ax;ay;az;gx;gy;gz;v;h;accelStatus;baroStatus
s;m/s^2;m/s^2;m/s^2;deg/s;deg/s;deg/s;m/s;m;;
0.006;0.2;-0.16;-0.65;-2;-4;-11;0.0;0.00;1;1
0.029;0.16;-0.02;-0.54;-2;-5;-15;0.0;0.00;1;1
0.055;-0.06;-0.03;-0.82;0;-3;-7;0.0;-6.76;1;1
0.079;-0.06;0.09;-1.02;0;-1;-3;0.0;-7.02;1;1
0.212;0.3;-0.27;-0.23;-14;-3;0;0.0;0.67;1;1
0.238;1.22;-1.34;-0.01;-9;1;0;0.0;0.67;1;1
0.263;1.07;0.07;0.44;2;4;-32;0.0;0.67;1;1
0.287;-0.34;-0.6;-0.47;7;5;0;0.0;0.46;1;1
0.312;-0.44;-0.63;-1.08;1;1;1;0.0;-8.69;1;1
0.337;-0.28;-0.36;-0.77;0;0;2;0.0;-8.65;1;1
0.362;-0.1;-0.53;-0.87;-1;-3;-6;0.0;-8.65;1;1
0.396;-0.03;-0.41;-0.76;0;-6;-3;0.0;-8.56;1;1
0.42;0.22;-0.53;-0.4;2;-7;-1;0.0;-8.48;1;1
0.445;0.01;-0.03;-0.93;3;-9;-12;0.0;-8.39;1;1
0.47;0.35;-0.28;-0.68;3;-11;-9;0.0;-8.28;1;1
0.495;0.47;-0.63;-0.46;4;-8;-2;0.0;-8.28;1;1
0.52;0.47;-0.62;-0.93;4;-4;-3;0.0;-8.16;1;1
0.545;0.34;0.09;-0.67;2;-1;-12;0.0;-8.03;1;1
0.57;0.3;-0.03;-0.6;0;1;-7;0.0;-7.91;1;1
0.594;0.2;-0.08;-0.73;-1;3;1;0.0;-7.91;1;1
0.62;0.38;-0.57;-1.28;-1;7;-5;0.0;-7.76;1;1
0.645;0.24;0.09;-0.47;-3;8;-10;0.0;-7.63;1;1
0.669;0.43;-0.04;-0.49;-2;6;-9;0.0;-7.54;1;1
0.695;0.25;-0.63;-0.88;-1;3;-1;0.0;-7.54;1;1
0.719;-0.11;-1.13;-0.89;3;7;16;0.0;-7.42;1;1
0.755;-0.65;-0.38;-0.44;11;1;-4;0.0;-7.32;1;1
0.781;-0.28;-0.92;-0.9;10;-6;-20;0.0;-7.21;1;1
0.814;0.29;-0.44;-0.85;13;-12;-7;0.0;-7.09;1;1
0.843;0.53;0.15;-1.1;16;-8;0;0.0;-7.01;1;1
0.872;0.59;0.59;-1.13;13;-1;3;0.0;-6.92;1;1
1.01;0.08;0.09;-0.35;14;6;-8;0.0;0.17;1;1
1.037;0.48;0.27;-0.6;8;7;4;0.0;0.17;1;1
1.061;1.24;0.45;0.06;-2;3;13;0.0;0.17;1;1
1.086;0.32;-0.53;-0.4;-10;3;22;0.0;0.27;1;1
1.11;-3.73;-0.06;-2.9;-8;9;-14;0.0;-5.98;1;1
1.135;-2.05;1.3;-3.75;12;21;-46;0.0;-5.96;1;1
1.161;0.69;0.17;-2.84;35;28;-46;0.0;-5.96;1;1
1.193;2.07;-0.66;-0.49;53;18;1;0.0;-5.95;1;1
1.218;0.24;-0.33;-0.16;40;6;9;0.0;-5.93;1;1
1.243;0.86;0.61;1.65;25;-4;8;0.0;-5.90;1;1
1.267;0.78;-0.17;2.04;2;-14;31;0.0;-5.88;1;1
1.293;-0.69;0.7;1.41;-24;-16;27;0.0;-5.88;1;1
1.317;-1.1;1.07;0.36;-40;-11;8;0.0;-5.86;1;1
1.342;0.3;1.35;0.62;-43;-6;14;0.0;-5.83;1;1
1.366;-0.55;0.45;-0.37;-39;-3;21;0.0;-5.80;1;1
1.392;-0.74;0.31;-1.22;-34;1;4;0.0;-5.80;1;1
1.417;-0.68;0.2;-1.07;-26;6;1;0.0;-5.76;1;1
1.441;0.26;1.23;1.93;-16;1;2;0.0;-5.72;1;1
1.466;-0.3;0.6;0.07;-10;-1;1;0.0;-5.69;1;1
1.491;-0.18;0.0;-0.04;-6;2;-6;0.0;-5.69;1;1
1.524;2.48;-0.45;4.82;-3;-6;0;0.0;-5.66;1;1
1.549;0.16;0.01;0.18;-8;-3;5;0.0;-5.62;1;1
1.573;0.76;-0.93;-0.13;-9;0;4;0.0;-5.61;1;1
1.598;0.05;-0.07;-0.29;1;2;7;0.0;-5.56;1;1
